                simTime,               simFrame,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,
+0.0000000000000000e+00,                      1,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      3,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,
+9.9999997764825821e-03,                      2,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+4.2934406030425976e-17,+0.0000000000000000e+00,                      3,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.9999999552965164e-02,                      3,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.1882855810441129e-16,+0.0000000000000000e+00,                      3,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,
+2.9999999329447746e-02,                      4,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-3.9031278209478160e-18,+0.0000000000000000e+00,                      3,                  0x400,+4.4408920985006262e-16,+0.0000000000000000e+00,
+3.9999999105930328e-02,                      5,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-8.2399365108898337e-18,+0.0000000000000000e+00,                      3,                  0x400,+4.4408920985006262e-16,+0.0000000000000000e+00,
+4.9999998882412910e-02,                      6,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-1.9949319973733282e-17,+0.0000000000000000e+00,                      3,                  0x400,+4.4408920985006262e-16,+0.0000000000000000e+00,
+5.9999998658895493e-02,                      7,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+3.0791341698588326e-17,+0.0000000000000000e+00,                      3,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,
+6.9999998435378075e-02,                      8,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+9.0639301619788171e-17,+0.0000000000000000e+00,                      3,                  0x400,+4.4408920985006262e-16,+0.0000000000000000e+00,
+7.9999998211860657e-02,                      9,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.0451708942760263e-16,+0.0000000000000000e+00,                      3,                  0x400,+4.4408920985006262e-16,+0.0000000000000000e+00,
+8.9999997988343239e-02,                     10,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+8.7169854667834556e-17,+0.0000000000000000e+00,                      3,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,
+9.9999997764825821e-02,                     11,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+3.7296554733501353e-17,+0.0000000000000000e+00,                      3,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.0999999754130840e-01,                     12,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.1752751549742868e-16,+0.0000000000000000e+00,                      3,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,
