simFrame,simTime,id_0,lateralDist_0,type_0,color_0,id_1,lateralDist_1,type_1,color_1,id_2,lateralDist_2,type_2,color_2,id_3,lateralDist_3,type_3,color_3,id_4,lateralDist_4,type_4,color_4,id_5,lateralDist_5,type_5,color_5,id_6,lateralDist_6,type_6,color_6,id_7,lateralDist_7,type_7,color_7,id_8,lateralDist_8,type_8,color_8,id_9,lateralDist_9,type_9,color_9,id_10,lateralDist_10,type_10,color_10,id_11,lateralDist_11,type_11,color_11,id_12,lateralDist_12,type_12,color_12,id_13,lateralDist_13,type_13,color_13
2,+9.9999997764825821e-03,0.0,+1.5730028152465820e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.7169971466064453e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.0664381980895996e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3,+1.9999999552965164e-02,0.0,+1.5730028152465820e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.7169971466064453e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.0664381980895996e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
4,+2.9999999329447746e-02,0.0,+1.5730028152465820e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.7169971466064453e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.0664381980895996e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
5,+3.9999999105930328e-02,0.0,+1.5730028152465820e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.7169971466064453e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.0664381980895996e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
6,+4.9999998882412910e-02,0.0,+1.5730028152465820e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.7169971466064453e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.0664381980895996e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7,+5.9999998658895493e-02,0.0,+1.5730028152465820e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.7169971466064453e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.0664381980895996e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
8,+6.9999998435378075e-02,0.0,+1.5730028152465820e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.7169971466064453e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.0664381980895996e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
9,+7.9999998211860657e-02,0.0,+1.5730028152465820e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.7169971466064453e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.0664381980895996e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
10,+8.9999997988343239e-02,0.0,+1.5730028152465820e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.7169971466064453e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.0664381980895996e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
11,+9.9999997764825821e-02,0.0,+1.5730028152465820e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.7169971466064453e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.0664381980895996e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
